date,yield_pct
2009-08-20,4.0977
2009-08-21,4.0875
2009-08-24,4.0872
2009-08-25,4.0873
2009-08-26,4.0873
2009-08-27,4.0861
2009-08-28,4.086
2009-08-31,4.086
2009-09-01,4.0858
2009-09-02,4.0853
2009-09-03,4.0951
2009-09-04,4.1
2009-09-07,4.0896
2009-09-08,4.0856
2009-09-09,4.1051
2009-09-10,4.0926
2009-09-11,4.0909
2009-09-14,4.0908
2009-09-15,4.0958
2009-09-16,4.0959
2009-09-17,4.1059
2009-09-18,4.106
2009-09-21,4.1045
2009-09-22,4.1095
2009-09-23,4.1031
2009-09-24,4.123
2009-09-25,4.1478
2009-09-27,4.1378
2009-09-28,4.1379
2009-09-29,4.138
2009-09-30,4.1381
2009-10-09,4.138
2009-10-10,4.138
2009-10-12,4.1531
2009-10-13,4.1731
2009-10-14,4.1831
2009-10-15,4.1881
2009-10-16,4.1882
2009-10-19,4.1887
2009-10-20,4.179
2009-10-21,4.1706
2009-10-22,4.1656
2009-10-23,4.1706
2009-10-26,4.1616
2009-10-27,4.1593
2009-10-28,4.1643
2009-10-29,4.1693
2009-10-30,4.1694
2009-11-02,4.1693
2009-11-03,4.1692
2009-11-04,4.1691
2009-11-05,4.169
2009-11-06,4.1691
2009-11-09,4.1692
2009-11-10,4.1732
2009-11-11,4.1742
2009-11-12,4.1744
2009-11-13,4.1745
2009-11-16,4.1746
2009-11-17,4.1747
2009-11-18,4.1748
2009-11-19,4.1948
2009-11-20,4.1918
2009-11-23,4.1968
2009-11-24,4.2013
2009-11-25,4.2012
2009-11-26,4.2011
2009-11-27,4.1911
2009-11-30,4.1861
2009-12-01,4.1851
2009-12-02,4.1841
2009-12-03,4.1843
2009-12-04,4.1845
2009-12-07,4.1934
2009-12-08,4.1928
2009-12-09,4.1928
2009-12-10,4.1909
2009-12-11,4.193
2009-12-14,4.1934
2009-12-15,4.1936
2009-12-16,4.1912
2009-12-17,4.191
2009-12-18,4.1909
2009-12-21,4.191
2009-12-22,4.1909
2009-12-23,4.191
2009-12-24,4.1909
2009-12-25,4.1912
2009-12-28,4.1909
2009-12-29,4.1911
2009-12-30,4.1907
2009-12-31,4.1812
2010-01-04,4.1856
2010-01-05,4.188
2010-01-06,4.1886
2010-01-07,4.1889
2010-01-08,4.1884
2010-01-11,4.1856
2010-01-12,4.1858
2010-01-13,4.2108
2010-01-14,4.2107
2010-01-15,4.2106
2010-01-18,4.2107
2010-01-19,4.2057
2010-01-20,4.2058
2010-01-21,4.2054
2010-01-22,4.19
2010-01-25,4.1799
2010-01-26,4.1798
2010-01-27,4.1798
2010-01-28,4.1714
2010-01-29,4.1671
2010-02-01,4.1724
2010-02-02,4.1792
2010-02-03,4.1786
2010-02-04,4.177
2010-02-05,4.177
2010-02-08,4.1794
2010-02-09,4.1794
2010-02-10,4.1794
2010-02-11,4.1794
2010-02-12,4.1794
2010-02-20,4.1795
2010-02-21,4.19
2010-02-22,4.2014
2010-02-23,4.1962
2010-02-24,4.1691
2010-02-25,4.1442
2010-02-26,4.0842
2010-03-01,4.0976
2010-03-02,4.0941
2010-03-03,4.0935
2010-03-04,4.0884
2010-03-05,4.0949
2010-03-08,4.0934
2010-03-09,4.0801
2010-03-10,4.0801
